Iteration 131: alp=9.765625e-04, f=9.298146e-03, gnorm=8.836995e-02
Iteration 132: alp=7.812500e-03, f=9.287395e-03, gnorm=3.142774e-01
Iteration 133: alp=9.765625e-04, f=9.242155e-03, gnorm=8.970157e-02
Iteration 134: alp=7.812500e-03, f=9.239207e-03, gnorm=3.412399e-01
Iteration 135: alp=9.765625e-04, f=9.186493e-03, gnorm=9.120725e-02
Iteration 136: alp=3.906250e-03, f=9.171706e-03, gnorm=1.769052e-01
Iteration 137: alp=1.953125e-03, f=9.165957e-03, gnorm=2.157703e-01
Iteration 138: alp=1.953125e-03, f=9.164239e-03, gnorm=2.666569e-01
Iteration 139: alp=9.765625e-04, f=9.130693e-03, gnorm=8.634062e-02
Iteration 140: alp=7.812500e-03, f=9.113870e-03, gnorm=2.868204e-01
Iteration 141: alp=9.765625e-04, f=9.075605e-03, gnorm=8.723892e-02
Iteration 142: alp=7.812500e-03, f=9.064316e-03, gnorm=3.075570e-01
Iteration 143: alp=9.765625e-04, f=9.020834e-03, gnorm=8.822918e-02
Iteration 144: alp=7.812500e-03, f=9.015559e-03, gnorm=3.286936e-01
Iteration 145: alp=9.765625e-04, f=8.966378e-03, gnorm=8.930166e-02
Iteration 146: alp=3.906250e-03, f=8.951104e-03, gnorm=1.688503e-01
Iteration 147: alp=1.953125e-03, f=8.944849e-03, gnorm=2.047740e-01
Iteration 148: alp=1.953125e-03, f=8.942088e-03, gnorm=2.517735e-01
Iteration 149: alp=9.765625e-04, f=8.911827e-03, gnorm=8.454835e-02
Iteration 150: alp=7.812500e-03, f=8.891443e-03, gnorm=2.665473e-01
Iteration 151: alp=9.765625e-04, f=8.857940e-03, gnorm=8.508685e-02
Iteration 152: alp=7.812500e-03, f=8.841278e-03, gnorm=2.812622e-01
Iteration 153: alp=9.765625e-04, f=8.804359e-03, gnorm=8.565198e-02
Iteration 154: alp=7.812500e-03, f=8.791551e-03, gnorm=2.957623e-01
Iteration 155: alp=9.765625e-04, f=8.751080e-03, gnorm=8.623278e-02
Iteration 156: alp=7.812500e-03, f=8.742208e-03, gnorm=3.098887e-01
Iteration 157: alp=9.765625e-04, f=8.698102e-03, gnorm=8.681694e-02
Iteration 158: alp=7.812500e-03, f=8.693191e-03, gnorm=3.234816e-01
Iteration 159: alp=9.765625e-04, f=8.645423e-03, gnorm=8.739111e-02
Iteration 160: alp=7.812500e-03, f=8.644432e-03, gnorm=3.363830e-01
Iteration 161: alp=9.765625e-04, f=8.593038e-03, gnorm=8.794129e-02
Iteration 162: alp=3.906250e-03, f=8.578645e-03, gnorm=1.675732e-01
Iteration 163: alp=1.953125e-03, f=8.572660e-03, gnorm=2.025058e-01
Iteration 164: alp=1.953125e-03, f=8.569956e-03, gnorm=2.479009e-01
Iteration 165: alp=9.765625e-04, f=8.540555e-03, gnorm=8.265110e-02
Iteration 166: alp=7.812500e-03, f=8.519762e-03, gnorm=2.555320e-01
Iteration 167: alp=9.765625e-04, f=8.488731e-03, gnorm=8.279333e-02
Iteration 168: alp=7.812500e-03, f=8.469746e-03, gnorm=2.624300e-01
Iteration 169: alp=9.765625e-04, f=8.437197e-03, gnorm=8.290434e-02
Iteration 170: alp=7.812500e-03, f=8.419871e-03, gnorm=2.685047e-01
Iteration 171: alp=9.765625e-04, f=8.385952e-03, gnorm=8.297720e-02
Iteration 172: alp=7.812500e-03, f=8.370106e-03, gnorm=2.736752e-01
Iteration 173: alp=9.765625e-04, f=8.334993e-03, gnorm=8.300565e-02
Iteration 174: alp=7.812500e-03, f=8.320418e-03, gnorm=2.778726e-01
Iteration 175: alp=9.765625e-04, f=8.284320e-03, gnorm=8.298432e-02
Iteration 176: alp=7.812500e-03, f=8.270782e-03, gnorm=2.810404e-01
Iteration 177: alp=9.765625e-04, f=8.233929e-03, gnorm=8.290889e-02
Iteration 178: alp=7.812500e-03, f=8.221177e-03, gnorm=2.831358e-01
Iteration 179: alp=9.765625e-04, f=8.183820e-03, gnorm=8.277629e-02
Iteration 180: alp=7.812500e-03, f=8.171588e-03, gnorm=2.841307e-01
Iteration 181: alp=9.765625e-04, f=8.133991e-03, gnorm=8.258471e-02
Iteration 182: alp=7.812500e-03, f=8.122009e-03, gnorm=2.840119e-01
Iteration 183: alp=9.765625e-04, f=8.084441e-03, gnorm=8.233377e-02
Iteration 184: alp=7.812500e-03, f=8.072436e-03, gnorm=2.827813e-01
Iteration 185: alp=9.765625e-04, f=8.035167e-03, gnorm=8.202444e-02
Iteration 186: alp=7.812500e-03, f=8.022878e-03, gnorm=2.804559e-01
Iteration 187: alp=9.765625e-04, f=7.986170e-03, gnorm=8.165902e-02
Iteration 188: alp=7.812500e-03, f=7.973346e-03, gnorm=2.770671e-01
Iteration 189: alp=9.765625e-04, f=7.937447e-03, gnorm=8.124109e-02
Iteration 190: alp=7.812500e-03, f=7.923858e-03, gnorm=2.726602e-01
Iteration 191: alp=9.765625e-04, f=7.888999e-03, gnorm=8.077533e-02
Iteration 192: alp=7.812500e-03, f=7.874438e-03, gnorm=2.672936e-01
Iteration 193: alp=9.765625e-04, f=7.840823e-03, gnorm=8.026738e-02
Iteration 194: alp=7.812500e-03, f=7.825115e-03, gnorm=2.610371e-01
Iteration 195: alp=9.765625e-04, f=7.792920e-03, gnorm=7.972364e-02
Iteration 196: alp=7.812500e-03, f=7.775918e-03, gnorm=2.539708e-01
Iteration 197: alp=9.765625e-04, f=7.745287e-03, gnorm=7.915105e-02
Iteration 198: alp=7.812500e-03, f=7.726880e-03, gnorm=2.461837e-01
Iteration 199: alp=9.765625e-04, f=7.697926e-03, gnorm=7.855687e-02
Iteration 200: alp=7.812500e-03, f=7.678034e-03, gnorm=2.377718e-01
Iteration 201: alp=9.765625e-04, f=7.650833e-03, gnorm=7.794845e-02
Iteration 202: alp=7.812500e-03, f=7.629413e-03, gnorm=2.288363e-01
Iteration 203: alp=9.765625e-04, f=7.604009e-03, gnorm=7.733300e-02
Iteration 204: alp=7.812500e-03, f=7.581048e-03, gnorm=2.194823e-01
Iteration 205: alp=1.953125e-03, f=7.580766e-03, gnorm=2.667814e-01
Iteration 206: alp=9.765625e-04, f=7.547303e-03, gnorm=7.882043e-02
Iteration 207: alp=7.812500e-03, f=7.531950e-03, gnorm=2.553140e-01
Iteration 208: alp=9.765625e-04, f=7.501061e-03, gnorm=7.804045e-02
Iteration 209: alp=7.812500e-03, f=7.483425e-03, gnorm=2.434488e-01
Iteration 210: alp=9.765625e-04, f=7.455086e-03, gnorm=7.726867e-02
Iteration 211: alp=7.812500e-03, f=7.435231e-03, gnorm=2.313171e-01
Iteration 212: alp=9.765625e-04, f=7.409374e-03, gnorm=7.651327e-02
Iteration 213: alp=7.812500e-03, f=7.387399e-03, gnorm=2.190489e-01
Iteration 214: alp=1.953125e-03, f=7.387208e-03, gnorm=2.655641e-01
Iteration 215: alp=9.765625e-04, f=7.354010e-03, gnorm=7.773314e-02
Iteration 216: alp=7.812500e-03, f=7.338372e-03, gnorm=2.489642e-01
Iteration 217: alp=9.765625e-04, f=7.308860e-03, gnorm=7.674418e-02
Iteration 218: alp=7.812500e-03, f=7.290100e-03, gnorm=2.326902e-01
Iteration 219: alp=9.765625e-04, f=7.263973e-03, gnorm=7.581795e-02
Iteration 220: alp=7.812500e-03, f=7.242401e-03, gnorm=2.168674e-01
Iteration 221: alp=1.953125e-03, f=7.242063e-03, gnorm=2.623850e-01
Iteration 222: alp=9.765625e-04, f=7.209615e-03, gnorm=7.688651e-02
Iteration 223: alp=7.812500e-03, f=7.193704e-03, gnorm=2.439247e-01
Iteration 224: alp=9.765625e-04, f=7.165292e-03, gnorm=7.583000e-02
Iteration 225: alp=7.812500e-03, f=7.146015e-03, gnorm=2.260662e-01
Iteration 226: alp=9.765625e-04, f=7.121230e-03, gnorm=7.485826e-02
Iteration 227: alp=1.562500e-02, f=7.119820e-03, gnorm=4.240856e-01
Iteration 228: alp=9.765625e-04, f=7.039427e-03, gnorm=8.511882e-02
Iteration 229: alp=3.906250e-03, f=7.031269e-03, gnorm=1.804721e-01
Iteration 230: alp=1.953125e-03, f=7.027839e-03, gnorm=2.159760e-01
Iteration 231: alp=1.953125e-03, f=7.027544e-03, gnorm=2.605584e-01
